NUMERO_IDENTIFICACION;NOMBRE;NUMERO_EXPEDIENTE;VALOR
1001234567;Maria Garcia Lopez;EXP-2026-001;1500000
1002345678;Carlos Rodriguez Martinez;EXP-2026-002;2300000
1003456789;Ana Maria Fernandez;EXP-2026-003;875000
1004567890;Jose Luis Hernandez;EXP-2026-004;3200000
1005678901;Laura Patricia Diaz;EXP-2026-005;1100000
1006789012;Pedro Juan Morales;EXP-2026-006;4500000
1007890123;Carmen Lucia Vargas;EXP-2026-007;920000
1008901234;Fernando Andres Castillo;EXP-2026-008;2750000
1009012345;Isabel Cristina Reyes;EXP-2026-009;1680000
1010123456;Ricardo Antonio Moreno;EXP-2026-010;3100000
1011234567;Gloria Helena Gutierrez;EXP-2026-011;540000
1012345678;Andres Felipe Romero;EXP-2026-012;2890000
1013456789;Sandra Milena Torres;EXP-2026-013;1750000
1014567890;Jorge Enrique Jimenez;EXP-2026-014;4200000
1015678901;Beatriz Eugenia Rojas;EXP-2026-015;680000
1016789012;Carlos Alberto Mendoza;EXP-2026-016;2150000
1017890123;Monica Paola Suarez;EXP-2026-017;3800000
1018901234;Luis Eduardo Parra;EXP-2026-018;990000
1019012345;Adriana Marcela Cruz;EXP-2026-019;1420000
1020123456;Gabriel Antonio Silva;EXP-2026-020;2650000
